input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.44.0.260225143659
qnn-net-run version, v2.44.0.260225143659
Backend version, v2.44.0.260225143659
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
400346743657,INIT,592,US,NETRUN,ROOT,null
400346744684,COMPOSE GRAPHS,564,US,NETRUN,ROOT,null
400346744761,FINALIZE,25,US,NETRUN,ROOT,Graph 0: mini_custom
400346744761,FINALIZE,23,US,BACKEND,ROOT,GRAPH_FINALIZE
400346744761,FINALIZE,7,US,BACKEND,SUB-EVENT,__Relu
400346744761,FINALIZE,3,US,BACKEND,SUB-EVENT,_MyScale_0
400346749533,DE-INIT,501,US,NETRUN,ROOT,null
400346749533,DE-INIT,0,US,BACKEND,ROOT,null
400346748752,EXECUTE,3213,US,NETRUN,ROOT,Graph 0: mini_custom
400346748752,EXECUTE,3208,US,BACKEND,ROOT,GRAPH_EXECUTE
400346748752,EXECUTE,3199,US,BACKEND,SUB-EVENT,__Relu
400346748752,EXECUTE,5,US,BACKEND,SUB-EVENT,_MyScale_0
400346749014,EXECUTE IPS,301.841217,INF/SEC,NETRUN,ROOT,null
